URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://fhir.nmdp.org/ig/matchsync/ValueSet/hla-geneid-valueset,0.1.1,draft,,HLAGeneIdVS,HLA Gene Name Value Set,"HLA HGNC GeneIds Valueset",,"Internal"
http://fhir.nmdp.org/ig/matchsync/ValueSet/icd10-gvhd-codes,0.1.1,draft,,ICD10GVHDVS,GVHD ICD-10 Codes,"GVHD ICD-10 Codes",,"hl7.terminology.r4"
http://fhir.nmdp.org/ig/matchsync/ValueSet/ms-abo-group-codes,0.1.1,draft,,MSABOGroupVS,MatchSync ABO Group Value Set,"MatchSync ABO group codes. Combines LOINC, Snomed, and NMDP codes",,
http://fhir.nmdp.org/ig/matchsync/ValueSet/ms-abo-rh-group-codes,0.1.1,draft,,MSABORHGroupVS,MatchSync ABO RH Group Value Set,"MatchSync ABO RH group codes. Combines LOINC and NMDP codes",,
http://fhir.nmdp.org/ig/matchsync/ValueSet/ms-cmv-codes,0.1.1,draft,,MSCMVVS,MatchSync ABO Group Value Set,"MatchSync ABO group codes. Combines LOINC and NMDP codes",,
http://fhir.nmdp.org/ig/matchsync/ValueSet/ms-form117-codes,0.1.1,draft,,NMDPForm117VS,NMDP Form 117 Value Set,"NMDP Form 117 codes",,"Internal"
http://fhir.nmdp.org/ig/matchsync/ValueSet/ms-rh-codes,0.1.1,draft,,MSRhVS,MatchSync Rh Value Sets,"MatchSync codes for blood Rh. Combines NMDP and LOINC code",,
http://fhir.nmdp.org/ig/matchsync/ValueSet/nmdp-abo-codes,0.1.1,draft,,NMDPABOVS,NMDP Blood Group Value Set,"NMDP blood group codes",,"Internal"
http://fhir.nmdp.org/ig/matchsync/ValueSet/nmdp-abo-rh-codes,0.1.1,draft,,NMDPABORHVS,NMDP Blood Group Value Set,"NMDP blood group codes",,"Internal"
http://fhir.nmdp.org/ig/matchsync/ValueSet/nmdp-cmv-codes,0.1.1,draft,,NMDPCMVVS,NMDP CMV Value Set,"NMDP cmv codes",,"Internal"
http://fhir.nmdp.org/ig/matchsync/ValueSet/nmdp-disease-codes,0.1.1,draft,,NMDPDiseaseVS,NMDP Disease Value Set,"NMDP disease codes",,"Internal"
http://fhir.nmdp.org/ig/matchsync/ValueSet/nmdp-diseasestage-codes,0.1.1,draft,,NMDPDiseasStageVS,NMDP Disease Stage Value Set,"NMDP disease stage codes",,"Internal"
http://fhir.nmdp.org/ig/matchsync/ValueSet/nmdp-ethnicity-codes,0.1.1,draft,,NMDPEthnicityVS,NMDP Ethnicity Value Set,"NMDP ethnicity codes",,"Internal"
http://fhir.nmdp.org/ig/matchsync/ValueSet/nmdp-language-codes,0.1.1,draft,,NMDPLanguageCodes,NMDP Language Value Set,"NMDP language codes",,"Internal"
http://fhir.nmdp.org/ig/matchsync/ValueSet/nmdp-practitioner-role-vs,0.1.1,draft,,NMDPPractitionerRoleVS,NMDP Practitioner Role Value Set,"NMDP Practitioner Role Value Set",,"Internal"
http://fhir.nmdp.org/ig/matchsync/ValueSet/nmdp-preferred-product-codes,0.1.1,draft,,NMDPPreferredProductVS,NMDP Preferred Product Value Set,"NMDP preferred product codes",,"Internal"
http://fhir.nmdp.org/ig/matchsync/ValueSet/nmdp-race-codes,0.1.1,draft,,NMDPRaceVS,NMDP Race Value Set,"NMDP race codes",,"Internal"
http://fhir.nmdp.org/ig/matchsync/ValueSet/nmdp-rh-status-codes,0.1.1,draft,,NMDPRhStatusVS,NMDP Codes for Rh status,"NMDP codes for Rh staus",,"Internal"
http://fhir.nmdp.org/ig/matchsync/ValueSet/nmdp-transplant-timeline-codes,0.1.1,draft,,NMDPTransplantTimelineVS,NMDP Transplant Timeline Value Set,"NMDP transplant timeline codes",,"Internal"
http://fhir.nmdp.org/ig/matchsync/ValueSet/sct-abo-group-codes,0.1.1,draft,,SCTABOGroupVS,Snomed CT ABO group Value Set,"Snomed CT codes for ABO blood group",,"SCT"
http://loinc.org/vs/LL2419-1,0.1.1,active,,LNCABOGroupVS,LOINC ABO group Value Set,"LOINC codes for ABO blood group",,"LOINC"
http://loinc.org/vs/LL2972-9,0.1.1,active,,LNCABORHGroupVS,LOINC ABO RH group Value Set,"LOINC codes for ABO RH blood group",,"LOINC"
http://loinc.org/vs/LL360-9,0.1.1,active,,PosNegVS,LOINC Pos|Neg Value Set,"LOINC codes for Positive and Negative",,"LOINC"
http://loinc.org/vs/LL3639-3,0.1.1,active,,LNCCMVGroupVS,LOINC CMV group Value Set,"LOINC codes for CMV",,"LOINC"
